Property Name,Price (HKD),Price (HKD in Millions),Type,Size (sq ft),Address,Bedroom(s),Bathroom(s),Living room(s),Feature 1,Feature 2
Elm Tree Road,110747664,110.7 ,House,"5,220","St. John's Wood, London, NW8 9JX",5,6,4,"Property with planning consent to extend the property to measure approximately 8,795 sq ft","Property with planning consent to extend the property to measure approximately 8,795 sq ft"
Cottrill Gardens,5075935,5.1 ,House,758,"Marcon Place, London, E8 1NY",3,2,1,Three bedrooms,Three bedrooms
Cumberland Close,7844626,7.8 ,House,"1,229","Wimbledon, London, SW20 8AT",4,2,1,In need of modernisation,In need of modernisation
Arundel Drive,8767523,8.8 ,House,"1,651","Woodford Green, Essex, IG8 9BZ",4,2,2,0.7 miles from Woodford Station (Central Line),0.7 miles from Woodford Station (Central Line)
Radnor Mews,15227804,15.2 ,House,"1,105","Connaught Village, London, W2 2SA",3,2,2,3 bedrooms,3 bedrooms
Wayside,14766355,14.8 ,House,"1,808","London, SW14 7LN",4,2,2,Four bedrooms,Four bedrooms
Harbut Road,7152453,7.2 ,Flat / Apartment,820,"London, SW11 2RD",2,1,1,Two double bedrooms,Two double bedrooms
The Courthouse,23995327,24.0 ,Flat / Apartment,"1,623","Horseferry Road, Westminster, London, SW1P 2FE",3,2,1,Three bedrooms,Three bedrooms
London House,30917056,30.9 ,Flat / Apartment,"1,890","7-9 Avenue Road, St. John's Wood, London, NW8 7PX",4,3,1,Four bedroom apartment,Four bedroom apartment
Craven Hill Gardens,62295561,62.3 ,Penthouse,"3,063","Bayswater, London, W2 3EA",4,4,2,Immaculately presented throughout,Immaculately presented throughout
The Stage,7129381,7.1 ,New development,421 to 546 ,"Curtain Close, London, EC2A 3NZ",4,5,3,32nd storey residents' sky lounge,32nd storey residents' sky lounge
Parkhurst Road,4106893,4.1 ,New development,398 to 398 ,"London, N7 0LR",2,2,1,Excellent transport connections - 6 underground lines within walking distance,Excellent transport connections - 6 underground lines within walking distance
Crediton Hill,18457944,18.5 ,Flat / Apartment,"1,463","West Hampstead, London, NW6 1HP",3,2,1,Impressive period building,Impressive period building
8 Eaton Lane,48336741,48.3 ,New development,"594 to 2,392 ","23-47 Grosvenor Gardens, London, SW1W 0DH",1,1,1,42 landmark residences in Belgravia,42 landmark residences in Belgravia
Seymour Place,5537383,5.5 ,Flat / Apartment,585,"London, W1H 4AT",1,1,1,Reception/dining room,Reception/dining room
Orsman Road,5491238,5.5 ,Flat / Apartment,697,"Hackney, London, N1 5QJ",2,2,1,Stylish apartment,Stylish apartment
Cliff Court,4153037,4.2 ,Flat / Apartment,313,"Cliff Road, Camden, London, NW1 9AP",1,1,1,Newly refurbished one bedroom apartment,Newly refurbished one bedroom apartment
Thirlmere Gardens,7152453,7.2 ,House,"1,547","Northwood, Middlesex, HA6 2RS",3,1,2,No onward chain,No onward chain
Kimpton Court,4614486,4.6 ,Flat / Apartment,628,"2 Murrain Road, Islington, London, N4 2BN",1,1,1,Built-in storage,Built-in storage
